,Phi[deg],Theta[deg],v,x,y,m,x1,y1
64,64,-90,-54.947,-0.350319057,-0.822500209,-1,-0.898794046,-0.438371147
65,65,-90,-40.3125,0.502831866,-0.739182081,-1,-0.906307787,-0.422618262
66,66,-90,-33.3989,0.89368149,0.023736643,-1,-0.913545458,-0.406736643
67,67,-90,-30.0543,0.462884474,0.764832007,-1,-0.920504853,-0.390731128
68,68,-90,-28.343,-0.393486394,0.802744351,-1,-0.927183855,-0.374606593
69,69,-90,-27.7931,-0.888087685,0.102617241,-1,-0.933580426,-0.35836795
70,70,-90,-28.3614,-0.566185255,-0.691855687,-1,-0.939692621,-0.342020143
71,71,-90,-30.3583,0.276265288,-0.850239687,-1,-0.945518576,-0.325568154
72,72,-90,-34.9912,0.864718799,-0.226917239,-1,-0.951056516,-0.309016994
73,73,-90,-54.3798,0.658153834,0.605031871,-1,-0.956304756,-0.292371705
74,74,-90,-36.3029,-0.153514731,0.88071747,-1,-0.961261696,-0.275637356
75,75,-90,-30.0486,-0.82404256,0.346675488,-1,-0.965925826,-0.258819045
76,76,-90,-27.1065,-0.73694946,-0.506098339,-1,-0.970295726,-0.241921896
77,77,-90,-25.7879,0.027691575,-0.893567687,-1,-0.974370065,-0.224951054
78,78,-90,-25.699,0.766873103,-0.459495025,-1,-0.978147601,-0.207911691
79,79,-90,-26.8705,0.800995037,0.397035244,-1,-0.981627183,-0.190808995
80,80,-90,-29.8301,0.098685828,0.888533141,-1,-0.984807753,-0.173648178
81,81,-90,-37.146,-0.694354677,0.563117765,-1,-0.987688341,-0.156434465
82,82,-90,-41.9828,-0.849008693,-0.280025486,-1,-0.990268069,-0.139173101
83,83,-90,-30.0784,-0.223088033,-0.865714597,-1,-0.992546152,-0.121869343
84,84,-90,-25.2894,0.607938736,-0.6554697,-1,-0.994521895,-0.104528463
85,85,-90,-22.4312,0.880029435,0.157411017,-1,-0.996194698,-0.087155743
86,86,-90,-20.5527,0.34302513,0.825568771,-1,-0.99756405,-0.069756474
87,87,-90,-19.291,-0.509354898,0.734702404,-1,-0.998629535,-0.052335956
88,88,-90,-18.4652,-0.893436381,-0.031645965,-1,-0.999390827,-0.034899497
89,89,-90,-17.9753,-0.456096576,-0.768899179,-1,-0.999847695,-0.017452406
90,90,-90,-17.7686,0.400576318,-0.799230035,-1,-1,-6.12E-17
91,91,-90,-17.828,0.888961192,-0.094752482,-1,-0.999847695,0.017452406
92,92,-90,-18.1694,0.560039246,0.696840066,-1,-0.999390827,0.034899497
93,93,-90,-18.8443,-0.2837802,0.84776107,-1,-0.998629535,0.052335956
94,94,-90,-19.9517,-0.866693439,0.219254457,-1,-0.99756405,0.069756474
95,95,-90,-21.6714,-0.652772727,-0.610833693,-1,-0.996194698,0.087155743
96,96,-90,-24.3653,0.16130422,-0.879324163,-1,-0.994521895,0.104528463
97,97,-90,-28.9835,0.827078811,-0.339368052,-1,-0.992546152,0.121869343
98,98,-90,-40.7101,0.732440958,0.512601481,-1,-0.990268069,0.139173101
99,99,-90,-35.6879,-0.035599734,0.893287576,-1,-0.987688341,0.156434465
100,100,-90,-28.1787,-0.770910195,0.452689194,-1,-0.984807753,0.173648178
101,101,-90,-25.018,-0.797449378,-0.404109546,-1,-0.981627183,0.190808995
102,102,-90,-23.638,-0.09081728,-0.889371832,-1,-0.978147601,0.207911691
103,103,-90,-23.5122,0.699311806,-0.556949758,-1,-0.974370065,0.224951054
104,104,-90,-24.6122,0.846496842,0.287529355,-1,-0.970295726,0.241921896
105,105,-90,-27.3353,0.215416586,0.867655305,-1,-0.965925826,0.258819045
106,106,-90,-33.376,-0.613716686,0.650062969,-1,-0.961261696,0.275637356
107,107,-90,-51.2533,-0.878601667,-0.165194263,-1,-0.956304756,0.292371705
108,108,-90,-31.6918,-0.335704328,-0.828572652,-1,-0.951056516,0.309016994
109,109,-90,-26.9311,0.515838023,-0.730165165,-1,-0.945518576,0.325568154
110,110,-90,-24.8757,0.893121274,0.039552807,-1,-0.939692621,0.342020143
111,111,-90,-24.3486,0.449272945,0.772906111,-1,-0.933580426,0.35836795
112,112,-90,-25.0734,-0.407634858,0.795653101,-1,-0.927183855,0.374606593
113,113,-90,-27.125,-0.889765052,0.0868803,-1,-0.920504853,0.390731128
114,114,-90,-30.9976,-0.553849361,-0.701769848,-1,-0.913545458,0.406736643
115,115,-90,-38.6317,0.291272879,-0.845216034,-1,-0.906307787,0.422618262
116,116,-90,-54.1656,0.868600177,-0.211574496,-1,-0.898794046,0.438371147
117,117,-90,-40.0041,0.647340478,0.616587658,-1,-0.891006524,0.4539905
118,118,-90,-39.3435,-0.169081071,0.877861963,-1,-0.882947593,0.469471563
119,119,-90,-47.6826,-0.830050263,0.332034028,-1,-0.874619707,0.48480962
120,120,-90,-41.0818,-0.727875071,-0.519064462,-1,-0.866025404,0.5
121,121,-90,-31.7082,0.043505104,-0.892937478,-1,-0.857167301,0.515038075
122,122,-90,-26.9798,0.774886888,-0.445847896,-1,-0.848048096,0.529919264
123,123,-90,-24.044,0.79384124,0.411152186,-1,-0.838670568,0.544639035
124,124,-90,-22.1561,0.082941617,0.890140844,-1,-0.829037573,0.559192903
125,125,-90,-21.0037,-0.704214146,0.550738115,-1,-0.819152044,0.573576436
126,126,-90,-20.4425,-0.843918671,-0.295010697,-1,-0.809016994,0.587785252
127,127,-90,-20.4253,-0.207728262,-0.869528035,-1,-0.79863551,0.601815023
128,128,-90,-20.9791,0.619446553,-0.644605308,-1,-0.788010754,0.615661475
129,129,-90,-22.2017,0.877105064,0.172964567,-1,-0.777145961,0.629320391
130,130,-90,-24.2857,0.328357224,0.831511616,-1,-0.766044443,0.64278761
131,131,-90,-27.6097,-0.522280733,0.72557072,-1,-0.75470958,0.656059029
132,132,-90,-33.1084,-0.892736193,-0.04745655,-1,-0.743144825,0.669130606
133,133,-90,-45.1765,-0.442414114,-0.776852487,-1,-0.731353702,0.68199836
134,134,-90,-45.2526,0.414661461,-0.79201383,-1,-0.7193398,0.69465837
135,135,-90,-40.8019,0.890499201,-0.079001311,-1,-0.707106781,0.707106781
136,136,-90,-45.6659,0.547616082,0.70664465,-1,-0.69465837,0.7193398
137,137,-90,-46.0141,-0.298742737,0.842604778,-1,-0.68199836,0.731353702
138,138,-90,-34.3892,-0.870438862,0.203877959,-1,-0.669130606,0.743144825
139,139,-90,-29.3537,-0.641857511,-0.622293315,-1,-0.656059029,0.75470958
140,140,-90,-26.4995,0.176844675,-0.876330985,-1,-0.64278761,0.766044443
141,141,-90,-24.8527,0.832956683,-0.324673989,-1,-0.629320391,0.777145961
142,142,-90,-23.9612,0.723252158,0.525486775,-1,-0.615661475,0.788010754
143,143,-90,-23.5378,-0.051407066,0.892517422,-1,-0.601815023,0.79863551
144,144,-90,-23.4173,-0.77880287,0.438971667,-1,-0.587785252,0.809016994
145,145,-90,-23.5907,-0.790170907,-0.418162614,-1,-0.573576436,0.819152044
146,146,-90,-24.2032,-0.075059456,-0.890840116,-1,-0.559192903,0.829037573
147,147,-90,-25.5135,0.709061313,-0.544483324,-1,-0.544639035,0.838670568
148,148,-90,-27.9135,0.841274381,0.302468926,-1,-0.529919264,0.848048096
149,149,-90,-32.1837,0.200023663,0.87133264,-1,-0.515038075,0.857167301
150,150,-90,-41.1825,-0.625127888,0.639097143,-1,-0.5,0.866025404
151,151,-90,-47.4836,-0.875539742,-0.18072132,-1,-0.48480962,0.874619707
152,152,-90,-38.9067,-0.320984395,-0.834385434,-1,-0.469471563,0.882947593
153,153,-90,-39.3784,0.528682525,-0.720919429,-1,-0.4539905,0.891006524
154,154,-90,-53.3888,0.892281169,0.055356575,-1,-0.438371147,0.898794046
155,155,-90,-37.7327,0.435520621,0.780737999,-1,-0.422618262,0.906307787
156,156,-90,-29.9985,-0.421655577,0.788312507,-1,-0.406736643,0.913545458
157,157,-90,-26.0431,-0.891163582,0.071116132,-1,-0.390731128,0.920504853
158,158,-90,-23.9217,-0.5413399,-0.711464087,-1,-0.374606593,0.927183855
159,159,-90,-23.1377,0.30618919,-0.839927506,-1,-0.35836795,0.933580426
160,160,-90,-23.614,0.872209351,-0.196165449,-1,-0.342020143,0.939692621
161,161,-90,-25.6255,0.636324257,0.627950217,-1,-0.325568154,0.945518576
162,162,-90,-30.3481,-0.184594424,0.874731349,-1,-0.309016994,0.951056516
163,163,-90,-49.8766,-0.835797843,0.317288513,-1,-0.292371705,0.956304756
